Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
281,Hannah Hogue,Arkansas,Jr.,5-8,S,127,334
-,Paige Stepaniuk,Portland St.,Fr.,5-6,L/DS,91,334
283,Morgan Allen,N.C. A&T,Sr.,5-5,DS,100,333
-,Ryan Henderson,Texas Southern,Fr.,5-6,L/DS,107,333
285,Bailey Hartsough,Western Caro.,Jr.,5-10,OH,106,332
-,Rachael Martinez,Colgate,So.,5-8,L,99,332
-,Tamara Otene,Georgia Tech,Sr.,6-0,OH,112,332
-,Kambree Rodriguez,Utah St.,Fr.,5-8,L/DS,104,332
289,Caroline Barnes,Illinois,Jr.,5-11,L/DS,99,331
290,Sierra Grizzle,Wyoming,Fr.,5-6,L/DS,121,330
-,Morgan Sprague,Missouri St.,Jr.,5-10,S,116,330
292,Lucy Arndt,Southeast Mo. St.,Fr.,5-11,OH,125,329
-,Brooke Cowie,Fresno St.,Jr.,5-11,S,131,329
-,Sofia Rampazzo,FDU,Sr.,6-0,OH,115,329
-,Melani Shaffmaster,Minnesota,Sr.,6-3,S,107,329
296,Macy Daufeldt,Drake,So.,5-11,OH,126,328
-,Hannah Vanden Berg,Green Bay,Sr.,6-2,OH,124,328
-,Miëtte Veldman,James Madison,Sr.,5-10,OH,117,328
299,Erin Eisenhart,Middle Tenn.,Sr.,5-3,DS,109,327
-,Camryn Turner,Kansas,Jr.,5-8,S,111,327
